datetime,action,shares,price,commission,tax,cash,event
2023-07-28,BUY,64000.0,15.499156914710998,1413.5231106216431,0.0,6640.434347874485,滿足多重確認進場做多
2023-08-02,SELL_ALL,64000.0,14.955057449817659,1363.9012394233705,2871.3710303649905,959528.8388664164,觸發止損離場
2023-09-05,BUY,61000.0,15.572645636558532,1353.6522219578503,0.0,8243.802814388182,滿足多重確認進場做多
2023-09-15,SELL_HALF,30000.0,16.071001007080078,687.0352930526734,1446.390090637207,488240.40764310065,階段 1 止盈 50% 成功，止損移至保本位
2023-09-21,SELL_ALL,31000.0,15.483864721775056,683.9997240844132,1439.9994191250803,966116.2148749179,觸發止損離場
2024-02-22,BUY,52000.0,18.23646581840515,1351.3221171438217,0.0,16468.670200706227,滿足多重確認進場做多
2024-02-29,SELL_HALF,26000.0,18.53446935558319,686.7020896243572,1445.6886097354889,496232.48274650937,階段 1 止盈 50% 成功，止損移至保本位
2024-03-25,SELL_ALL,26000.0,20.025720122337344,741.9529305325987,1562.0061695423128,1014597.2468272054,觸發止損離場
2025-05-16,BUY,49000.0,20.32447104549408,1419.156190751624,0.0,17279.009407243924,滿足多重確認進場做多
2025-05-28,SELL_ALL,49000.0,19.716405633926392,1376.6980233889103,2898.31162818718,979107.8758180611,觸發止損離場
2025-12-15,BUY,46000.0,20.954199357032774,1373.5477678534983,0.0,13841.157626700005,滿足多重確認進場做多
2025-12-17,SELL_HALF,23000.0,21.36835787010193,700.3479291925909,1474.4166930370334,503138.6240168148,階段 1 止盈 50% 成功，止損移至保本位
2026-01-30,SELL_ALL,23000.0,22.663995356559756,742.812447811246,1563.8156796026233,1022103.8890902754,觸發止損離場
2026-05-25,BUY,37000.0,27.48373431301117,1449.0798916535139,0.0,3756.6396172086243,滿足多重確認進場做多
2026-05-27,SELL_HALF,18000.0,28.835575381278993,739.6325085298062,1557.1210705890655,520500.2429011116,階段 1 止盈 50% 成功，止損移至保本位
