datetime,action,shares,price,commission,tax,cash,event
2017-02-08,BUY,835000.0,1.1951473124027252,1422.0759083451928,0.0,629.9182353792712,滿足多重確認進場做多
2017-02-10,SELL_HALF,417000.0,1.23165386736393,731.8795193343312,1540.7989880722764,511956.9024187314,階段 1 止盈 50% 成功，止損移至保本位
2017-03-01,SELL_ALL,418000.0,1.2312040773034096,733.3667086457759,1543.9299129384756,1024322.9101099723,觸發止損離場
2017-06-05,BUY,731000.0,1.3979685992002486,1456.2289405719189,0.0,951.6351540187607,滿足多重確認進場做多
2017-06-14,SELL_ALL,731000.0,1.3593200142979622,1415.9696758938298,2980.988791355431,990217.6071385798,觸發止損離場
2017-06-20,BUY,682000.0,1.4493643088936805,1408.5647035983236,0.0,342.583769491408,滿足多重確認進場做多
2017-06-26,SELL_HALF,341000.0,1.5137926956415177,735.5897156296046,1548.6099276412729,514261.6933399781,階段 1 止盈 50% 成功，止損移至保本位
2017-08-11,SELL_ALL,341000.0,1.5296847614645959,743.3120677146837,1564.8675109782816,1033576.0174207124,觸發止損離場
2018-01-18,BUY,591000.0,1.744051626563072,1468.7966786007553,0.0,1372.7094433360035,滿足多重確認進場做多
2018-01-22,SELL_HALF,295000.0,1.7954618358612062,754.7672692501545,1588.9837247371674,528690.2000284045,階段 1 止盈 50% 成功，止損移至保本位
2018-02-05,SELL_ALL,296000.0,1.702788164138794,718.2360476337434,1512.0758897552491,1030485.1846760986,觸發止損離場
2020-12-08,BUY,266000.0,3.8678430082798,1466.1058922884583,0.0,172.83858138334472,滿足多重確認進場做多
2020-12-15,SELL_ALL,266000.0,3.6913334941864018,1399.1999609713557,2945.6841283607487,977722.6639456342,觸發止損離場
2021-01-04,BUY,231000.0,4.222560149431229,1389.9612371890248,0.0,921.3081898313249,滿足多重確認進場做多
2021-01-07,SELL_HALF,115000.0,4.427335395812989,725.5295879888536,1527.4307115554811,507811.9184087807,階段 1 止盈 50% 成功，止損移至保本位
2021-01-28,SELL_ALL,116000.0,4.572712309360504,755.8693447372914,1591.3038836574556,1035899.3730662045,觸發止損離場
2024-03-06,BUY,126000.0,8.19045353937149,1470.595932994151,0.0,2431.6311724026455,滿足多重確認進場做多
2024-03-08,SELL_HALF,63000.0,8.454860687732697,759.035118241203,1597.96866998148,532730.85071134,階段 1 止盈 50% 成功，止損移至保本位
2024-04-16,SELL_ALL,63000.0,8.518468508720398,764.7455103703737,1609.9905481481553,1067019.6307022064,觸發止損離場
2026-01-19,BUY,53000.0,19.732592001914977,1490.3040109446288,0.0,19701.95058976789,滿足多重確認進場做多
2026-01-27,SELL_HALF,26000.0,20.494298658370973,759.3137652926446,1598.555295352936,550195.8466467676,階段 1 止盈 50% 成功，止損移至保本位
2026-02-02,SELL_ALL,27000.0,19.408471375465393,746.7409361710311,1572.0861814126968,1071905.7466667495,觸發止損離場
