datetime,action,shares,price,commission,tax,cash,event
2017-02-10,BUY,72000.0,13.711064294815063,1406.7551966480255,0.0,11396.615576667362,滿足多重確認進場做多
2017-02-15,SELL_HALF,36000.0,13.904328804492952,713.2920676704884,1501.667510885239,509737.4929598579,階段 1 止盈 50% 成功，止損移至保本位
2017-03-01,SELL_ALL,36000.0,13.612695176124573,698.3312625351906,1470.1710790214538,997626.016958786,觸發止損離場
2017-05-09,BUY,69000.0,14.30433449077606,1406.473688805556,0.0,9220.463406432187,滿足多重確認進場做多
2017-05-25,SELL_HALF,34000.0,14.487594154834747,701.9239368017435,1477.7346037931443,499619.0061302187,階段 1 止盈 50% 成功，止損移至保本位
2017-06-14,SELL_ALL,35000.0,14.459370930671692,721.1611251672507,1518.2339477205276,1003457.5936308401,觸發止損離場
2017-06-20,BUY,66000.0,14.963514585971831,1407.3185468106508,0.0,14458.312409888604,滿足多重確認進場做多
2017-06-26,SELL_HALF,33000.0,15.315456650733948,720.209349000764,1516.2302084226608,517631.9423266855,階段 1 止盈 50% 成功，止損移至保本位
2017-08-11,SELL_ALL,33000.0,15.418697469711304,725.0642485131741,1526.451049501419,1024197.4435291439,觸發止損離場
2018-01-17,BUY,63000.0,16.174965002059935,1452.1074830599307,0.0,3722.540916308062,滿足多重確認進場做多
2018-01-18,SELL_HALF,31000.0,16.37702887058258,723.4552503579855,1523.06368496418,509163.9169690459,階段 1 止盈 50% 成功，止損移至保本位
2018-02-05,SELL_ALL,32000.0,16.273824273109437,742.0863868537903,1562.2871302185058,1027621.9201914755,觸發止損離場
2020-12-08,BUY,40000.0,25.507401028633115,1453.9218586320876,0.0,5871.957187518827,滿足多重確認進場做多
2020-12-15,SELL_ALL,40000.0,24.845120892524722,1416.1718908739092,2981.4145071029666,995279.2064905309,觸發止損離場
2021-01-04,BUY,37000.0,26.421031291007996,1393.0488748183966,0.0,16307.999848416657,滿足多重確認進場做多
2021-01-07,SELL_HALF,18000.0,27.360408868789673,701.7944874844551,1477.4620789146425,506616.10292023164,階段 1 止盈 50% 成功，止損移至保本位
2021-01-28,SELL_ALL,19000.0,28.271175715446475,765.4420824957133,1611.457015780449,1041391.5424154385,觸發止損離場
2021-08-31,BUY,34000.0,30.54842965221405,1480.0714166497708,0.0,1264.8628235110082,滿足多重確認進場做多
2021-09-23,SELL_ALL,34000.0,30.00690638446808,1453.8346143274787,3060.7044512157445,1016985.1408298826,達到時間限制強制平倉
2023-12-27,BUY,31000.0,31.88412486076355,1408.48121572423,0.0,27168.788930488285,滿足多重確認進場做多
2024-01-03,SELL_ALL,31000.0,31.101417296409608,1373.9051090688945,2892.4318085660934,987046.3882015512,觸發止損離場
2024-03-06,BUY,27000.0,35.776237180709835,1376.490725527811,0.0,19711.493596857763,滿足多重確認進場做多
2024-03-07,SELL_HALF,13000.0,36.56885318565369,677.4380052642346,1426.1852742404938,493002.961730851,階段 1 止盈 50% 成功，止損移至保本位
2024-04-16,SELL_ALL,14000.0,37.37322603607178,745.595859419632,1569.6754935150148,1013912.8548829212,觸發止損離場
2024-06-19,BUY,22000.0,45.17395432090759,1416.203467960453,0.0,18669.6563549937,滿足多重確認進場做多
2024-07-04,SELL_HALF,11000.0,46.22130451393128,724.5189482558728,1525.3030489597322,524854.1840110221,階段 1 止盈 50% 成功，止損移至保本位
2024-07-18,SELL_ALL,11000.0,45.99894641876221,721.0334851140976,1517.965231819153,1028603.5959004732,觸發止損離場
2025-10-03,BUY,17000.0,59.24384051513672,1435.182036479187,0.0,20023.12510666973,滿足多重確認進場做多
2025-10-07,SELL_HALF,8000.0,60.81084981155396,693.2436878517151,1459.460395477295,504357.21951577236,階段 1 止盈 50% 成功，止損移至保本位
2025-11-14,SELL_ALL,9000.0,60.81084981155396,779.8991488331795,1641.8929449119569,1049233.075726013,觸發止損離場
2026-01-05,BUY,15000.0,68.56697356796265,1465.6190600152015,0.0,19262.853146558045,滿足多重確認進場做多
2026-01-16,SELL_HALF,7000.0,70.96241821670533,707.8501217116357,1490.210782550812,513801.7197592329,階段 1 止盈 50% 成功，止損移至保本位
2026-02-02,SELL_ALL,8000.0,71.46425,814.69245,1715.142,1082985.8853092329,剩餘部位觸發吊燈止損，波段結束
