datetime,capital,position_value,equity
2020-07-13,1000000.0,0.0,1000000.0
2020-07-14,1000000.0,0.0,1000000.0
2020-07-15,1000000.0,0.0,1000000.0
2020-07-16,1000000.0,0.0,1000000.0
2020-07-17,1000000.0,0.0,1000000.0
2020-07-20,1000000.0,0.0,1000000.0
2020-07-21,1000000.0,0.0,1000000.0
2020-07-22,1000000.0,0.0,1000000.0
2020-07-23,1000000.0,0.0,1000000.0
2020-07-24,1000000.0,0.0,1000000.0
2020-07-27,1000000.0,0.0,1000000.0
2020-07-28,1000000.0,0.0,1000000.0
2020-07-29,1000000.0,0.0,1000000.0
2020-07-30,1000000.0,0.0,1000000.0
2020-07-31,1000000.0,0.0,1000000.0
2020-08-03,1000000.0,0.0,1000000.0
2020-08-04,1000000.0,0.0,1000000.0
2020-08-05,1000000.0,0.0,1000000.0
2020-08-06,1000000.0,0.0,1000000.0
2020-08-07,1000000.0,0.0,1000000.0
2020-08-10,1000000.0,0.0,1000000.0
2020-08-11,1000000.0,0.0,1000000.0
2020-08-12,1000000.0,0.0,1000000.0
2020-08-13,1000000.0,0.0,1000000.0
2020-08-14,1000000.0,0.0,1000000.0
2020-08-17,1000000.0,0.0,1000000.0
2020-08-18,1000000.0,0.0,1000000.0
2020-08-19,1000000.0,0.0,1000000.0
2020-08-20,1000000.0,0.0,1000000.0
2020-08-21,1000000.0,0.0,1000000.0
2020-08-24,1000000.0,0.0,1000000.0
2020-08-25,1000000.0,0.0,1000000.0
2020-08-26,1000000.0,0.0,1000000.0
2020-08-27,1000000.0,0.0,1000000.0
2020-08-28,1000000.0,0.0,1000000.0
2020-08-31,1000000.0,0.0,1000000.0
2020-09-01,1000000.0,0.0,1000000.0
2020-09-02,1000000.0,0.0,1000000.0
2020-09-03,1000000.0,0.0,1000000.0
2020-09-04,1000000.0,0.0,1000000.0
2020-09-07,1000000.0,0.0,1000000.0
2020-09-08,1000000.0,0.0,1000000.0
2020-09-09,1000000.0,0.0,1000000.0
2020-09-10,1000000.0,0.0,1000000.0
2020-09-11,1000000.0,0.0,1000000.0
2020-09-14,1000000.0,0.0,1000000.0
2020-09-15,1000000.0,0.0,1000000.0
2020-09-16,1000000.0,0.0,1000000.0
2020-09-17,1000000.0,0.0,1000000.0
2020-09-18,1000000.0,0.0,1000000.0
2020-09-21,1000000.0,0.0,1000000.0
2020-09-22,1000000.0,0.0,1000000.0
2020-09-23,1000000.0,0.0,1000000.0
2020-09-24,1000000.0,0.0,1000000.0
2020-09-25,1000000.0,0.0,1000000.0
2020-09-28,1000000.0,0.0,1000000.0
2020-09-29,1000000.0,0.0,1000000.0
2020-09-30,1000000.0,0.0,1000000.0
2020-10-05,1000000.0,0.0,1000000.0
2020-10-06,1000000.0,0.0,1000000.0
2020-10-07,1000000.0,0.0,1000000.0
2020-10-08,1000000.0,0.0,1000000.0
2020-10-12,1000000.0,0.0,1000000.0
2020-10-13,1000000.0,0.0,1000000.0
2020-10-14,1000000.0,0.0,1000000.0
2020-10-15,1000000.0,0.0,1000000.0
