datetime,open,high,low,close,volume
2025-05-26,8.824999809265137,8.875,8.784090042114258,8.800000190734863,176445324
2025-05-27,8.797730445861816,8.797730445861816,8.586359977722168,8.640910148620605,164256246
2025-05-28,8.8545503616333,8.899999618530273,8.602270126342773,8.675000190734863,154016632
2025-05-29,8.8954496383667,8.904549598693848,8.706819534301758,8.725000381469727,136691412
2025-06-02,8.481820106506348,8.5204496383667,8.311360359191895,8.350000381469727,223618758
2025-06-03,8.529549598693848,8.643179893493652,8.440910339355469,8.461359977722168,204521790
2025-06-04,8.704549789428711,8.899999618530273,8.684089660644531,8.8954496383667,234417128
2025-06-05,8.94773006439209,9.011360168457031,8.886360168457031,8.909090042114258,96600592
2025-06-06,8.902270317077637,8.977270126342773,8.888640403747559,8.940910339355469,56331330
2025-06-09,9.088640213012695,9.090909957885742,8.977270126342773,9.050000190734863,76514636
2025-06-10,9.172730445861816,9.486359596252441,9.172730445861816,9.399999618530273,191192848
2025-06-11,9.531820297241211,9.581819534301758,9.445449829101562,9.57273006439209,136632936
2025-06-12,9.509090423583984,9.563639640808105,9.468179702758789,9.5,182357120
2025-06-13,9.263640403747559,9.411359786987305,9.204549789428711,9.279549598693848,315749808
2025-06-16,9.234089851379395,9.331819534301758,9.181819915771484,9.329549789428711,110169136
2025-06-17,9.468179702758789,9.497730255126953,9.329549789428711,9.386360168457031,111649582
2025-06-18,9.347729682922363,9.545450210571289,9.340909957885742,9.522729873657227,132275418
2025-06-19,9.440910339355469,9.443180084228516,9.297730445861816,9.32273006439209,121333256
2025-06-20,9.309089660644531,9.359089851379395,9.129549980163574,9.268179893493652,157139378
2025-06-23,8.975000381469727,9.131819725036621,8.909090042114258,9.113639831542969,149408798
2025-06-24,9.415909767150879,9.531820297241211,9.409090042114258,9.513640403747559,199854270
2025-06-25,9.661359786987305,9.715909957885742,9.597729682922363,9.715909957885742,194465062
2025-06-26,9.7295503616333,9.804550170898438,9.652270317077637,9.668180465698242,207417628
2025-06-27,9.727270126342773,9.736359596252441,9.57273006439209,9.6454496383667,143741092
2025-06-30,9.704549789428711,9.734089851379395,9.656820297241211,9.704549789428711,105066104
2025-07-01,9.834090232849121,10.081819534301758,9.827269554138184,9.888640403747559,185664578
2025-07-02,9.784090042114258,9.925000190734863,9.754549980163574,9.904549598693848,71720462
2025-07-03,10.093179702758789,10.193180084228516,10.077269554138184,10.179550170898438,138270066
2025-07-04,10.204549789428711,10.218179702758789,9.949999809265137,9.963640213012695,147401892
