datetime,action,shares,price,commission,tax,cash,event
2025-06-11,BUY,51950.571630349885,19.221636425971983,1425.0,0.0,0.0,滿足多重確認進場做多
2025-06-12,SELL_HALF,25975.285815174942,19.230105250358584,711.7981591908937,1498.5224404018816,497297.15953436773,階段 1 止盈 50% 成功，止損移至保本位
2025-06-19,SELL_ALL,0.0,19.20242439556122,710.7735583770616,1496.3653860569718,993878.4826089243,觸發止損離場
2025-09-09,BUY,50876.54691711176,19.50726348209381,1416.2768377177172,0.0,0.0,滿足多重確認進場做多
2025-09-12,SELL_HALF,25438.27345855588,19.751113460540772,715.9687710812851,1507.3026759606003,500210.9538731582,階段 1 止盈 50% 成功，止損移至保本位
2025-11-07,SELL_ALL,0.0,20.061487904548645,727.219701804523,1530.9888459042588,1008282.3606268691,觸發止損離場
2026-01-19,BUY,45996.29854439344,21.889708305358887,1436.8023638932887,0.0,0.0,滿足多重確認進場做多
2026-01-26,SELL_HALF,22998.14927219672,22.31841742324829,731.427270972161,1539.8468862571808,511011.02126183093,階段 1 止盈 50% 成功，止損移至保本位
2026-01-30,SELL_ALL,0.0,21.867829536437988,716.6604413115833,1508.7588238138596,1011705.2099346586,觸發止損離場
