datetime,action,shares,price,commission,tax,cash,event
2016-07-28,BUY,7000.0,138.48157495880127,1381.3537102140426,0.0,29247.621578177088,滿足多重確認進場做多
2016-08-18,SELL_ALL,7000.0,137.95120778656008,1376.063297670937,2896.9753635177617,990633.0374229089,達到時間限制強制平倉
2019-03-21,BUY,4000.0,206.29379969787595,1175.8746582778929,0.0,164281.9639731273,滿足多重確認進場做多
2019-04-08,SELL_HALF,2000.0,212.3835164718628,605.293021944809,1274.301098831177,587169.4027960768,階段 1 止盈 50% 成功，止損移至保本位
2019-04-29,SELL_ALL,2000.0,217.84000012207034,620.8440003479005,1307.0400007324222,1020921.5190391373,剩餘部位觸發吊燈止損，波段結束
2019-06-11,BUY,4000.0,205.45345969390868,1171.0847202552795,0.0,197936.5955432473,滿足多重確認進場做多
2019-06-17,SELL_ALL,4000.0,195.59429260253907,1114.8874678344728,2347.1315112304687,976851.7469743387,觸發止損離場
2019-10-01,BUY,3000.0,244.9454858779907,1047.1419521284104,0.0,240968.1473882381,滿足多重確認進場做多
2019-10-14,SELL_HALF,1000.0,253.43989756774903,361.15185403404234,760.3196927032471,493286.57340924983,階段 1 止盈 50% 成功，止損移至保本位
2020-01-30,SELL_ALL,2000.0,278.6210567932129,794.0700118606568,1671.7263407592775,1048062.8906430558,觸發止損離場
2020-07-14,BUY,3000.0,326.0134501647949,1393.7074994544982,0.0,68628.83264921652,滿足多重確認進場做多
2020-07-21,SELL_HALF,1000.0,343.1590841369629,489.00169489517214,1029.4772524108887,410269.43783887336,階段 1 止盈 50% 成功，止損移至保本位
2020-08-03,SELL_ALL,2000.0,372.72626336669924,1062.2698505950927,2236.3575802001956,1152423.3371414766,觸發止損離場
2020-12-08,BUY,2000.0,472.5409314422607,1346.7416546104432,0.0,205994.7326023446,滿足多重確認進場做多
2020-12-15,SELL_ALL,2000.0,454.05081512451176,1294.0448231048586,2724.3048907470707,1110078.013137516,觸發止損離場
2021-01-04,BUY,2000.0,485.73423133850093,1384.3425593147276,0.0,137225.20790119958,滿足多重確認進場做多
2021-01-06,SELL_HALF,1000.0,497.0177242431641,708.2502570465089,1491.0531727294922,632043.6287145877,階段 1 止盈 50% 成功，止損移至保本位
2021-01-26,SELL_ALL,1000.0,558.5792742614747,795.9754658226013,1675.7378227844238,1188151.189687455,觸發止損離場
2021-09-06,BUY,2000.0,576.5492389526366,1643.1653310150143,0.0,33409.54645116674,滿足多重確認進場做多
2021-09-15,SELL_ALL,2000.0,554.0659680786133,1579.088009024048,3324.3958084716796,1136637.9987908977,觸發止損離場
2022-01-04,BUY,1000.0,604.8923218688965,861.9715586631776,0.0,530883.705363338,滿足多重確認進場做多
2022-01-07,SELL_ALL,1000.0,584.0219298706055,832.2312500656128,1752.0657896118164,1112321.338194266,觸發止損離場
2024-03-06,BUY,1000.0,707.292373260498,1007.8916318962098,0.0,404021.07330187166,滿足多重確認進場做多
2024-04-19,SELL_ALL,1000.0,724.3723738403321,1032.2306327224733,2173.1171215209965,1125188.0993879605,觸發止損離場
2024-06-19,BUY,1000.0,952.0926907653808,1356.7320843406676,0.0,171738.67653823912,滿足多重確認進場做多
2024-07-19,SELL_ALL,1000.0,940.4758159179688,1340.1780376831057,2821.4274477539066,1108052.886970771,觸發止損離場
