datetime,open,high,low,close,volume
2016-06-13,11.679221485419584,11.70646583775798,11.570239225850674,11.579320907592773,38080492
2016-06-14,11.533916411630027,11.6610613925658,11.533916411630027,11.65198040008545,25647780
2016-06-15,11.65197690113564,11.697386007230653,11.552076313416235,11.670140266418457,90333460
2016-06-16,11.642896384529948,11.642896384529948,11.443096562966714,11.506669044494629,35996524
2016-06-17,11.597485740684602,11.697386331170593,11.597485740684602,11.633813858032227,23235888
2016-06-20,11.715550422668457,11.742796165922899,11.688304679414014,11.715550422668457,41230268
2016-06-21,11.715550514721963,11.797286359351453,11.706468138307097,11.76095962524414,72453344
2016-06-22,11.760959300526034,11.797286033630371,11.724632567421699,11.797286033630371,42227324
2016-06-23,11.770040512084961,11.779121501574492,11.724631407309595,11.770040512084961,128753308
2016-06-24,11.760958307594706,11.788204048010726,11.270539830322043,11.461257934570312,126660260
2016-06-27,11.479421022653868,11.579320907592773,11.443093602797566,11.579320907592773,19725056
2016-06-28,11.461258006102298,11.633813439296773,11.452176323536264,11.624731063842773,21382312
2016-06-29,11.651977622922919,11.80636831605458,11.651977622922919,11.751876831054688,36405632
2016-06-30,11.83361433826987,11.888104438781738,11.742796118307364,11.888104438781738,101380544
2016-07-01,11.9607590354565,12.060659629583714,11.924432302560803,12.033413887023926,122673720
2016-07-04,12.006168561280452,12.124232525954325,11.988005194202028,12.042496681213379,39958748
2016-07-05,12.024330777143653,12.033413152701353,11.960758305567591,12.0061674118042,23991848
2016-07-06,11.915347207666299,11.915347207666299,11.751874175384033,11.788202285766602,34922552
2016-07-07,11.888105481069248,11.942596972134709,11.869942112639489,11.933514595031738,26350232
2016-07-08,11.933514595031738,11.933514595031738,11.933514595031738,11.933514595031738,0
2016-07-11,12.115149058970413,12.215049647573215,12.115149058970413,12.16964054107666,88833128
2016-07-12,12.196886786494948,12.2786226272583,12.196886786494948,12.2786226272583,61589704
2016-07-13,12.324031198579446,12.333113574168923,12.18780387939299,12.287704467773438,37739664
2016-07-14,12.26045672239844,12.324029183803878,12.224129997531252,12.296783447265625,40439392
2016-07-15,12.314949862831051,12.442094802856445,12.314949862831051,12.442094802856445,62172584
2016-07-18,12.433014292033107,12.560160636901855,12.433014292033107,12.560160636901855,147391620
2016-07-19,12.56923908205234,12.587403831766022,12.496585626300973,12.57832145690918,68182348
2016-07-20,12.532911936055969,12.587403411827399,12.496585209392212,12.569238662719727,98872448
2016-07-21,12.614647750911084,12.696384964483826,12.596484387597961,12.6328125,39920284
2016-07-22,12.632816226688,12.660060586806889,12.569242357674053,12.587407112121582,13060376
2016-07-25,12.623732380245041,12.70546822264125,12.414850200395131,12.532914161682129,46705892
2016-07-26,12.532914034534773,12.605568885803224,12.505668292087101,12.605568885803223,52849320
2016-07-27,12.650977031937895,12.705467126910746,12.623731291563509,12.66005802154541,44472784
2016-07-28,12.687640060982119,12.733609771347997,12.61408824381987,12.696834564208984,45809772
2016-07-29,12.660060320101834,12.724417646064333,12.604897499084473,12.604897499084473,77561492
2016-08-01,12.65086699831477,12.770387143218748,12.65086699831477,12.742806434631348,41629484
2016-08-02,12.733611929845903,12.761194041317768,12.706029818374036,12.742806434631348,28467896
2016-08-03,12.595700517134233,12.669252333577552,12.512955600438131,12.641670227050781,55204428
2016-08-04,12.660056939465651,12.678444541561367,12.568117526102961,12.669251441955566,42698796
2016-08-05,12.706030377751066,12.825551930801389,12.66925516275921,12.797969818115234,49691456
2016-08-08,12.87152181854262,12.91749153932313,12.81635759245219,12.880716323852539,31611788
2016-08-09,12.871518452134598,12.95426336674465,12.862323949229403,12.945070266723633,46273940
2016-08-10,12.926683994928153,12.981846809387207,12.880714281436779,12.981846809387207,25991192
2016-08-11,12.908295383236636,12.972654106406475,12.77038623853161,12.862325668334961,43613680
2016-08-12,12.899101576987109,12.963458893755135,12.880713972608286,12.908294677734375,21034824
2016-08-15,12.908296641455701,12.963460865868518,12.853133819927388,12.93587875366211,19189900
2016-08-16,12.9266843915048,12.963459602272394,12.816355953433286,12.862325668334961,17727968
2016-08-17,12.853134210807326,12.889909426277915,12.825552097762111,12.880716323852539,35701440
2016-08-18,12.871518897813377,12.899101004599823,12.834743690687601,12.853131294250488,13100136
2016-08-19,12.853129888395049,12.954262398371329,12.724413871765138,12.724413871765137,33199204
2016-08-22,12.687641024422282,12.71522313331311,12.586507092784023,12.632476806640625,28333644
2016-08-23,12.669254791456314,12.797969443040046,12.669254791456314,12.761194229125977,28336036
2016-08-24,12.751995975534696,12.78877258152213,12.724413871765138,12.724413871765137,20285916
2016-08-25,12.74280540314898,12.899102151658631,12.74280540314898,12.871520042419434,32090272
2016-08-26,12.862323824002559,12.92668253794398,12.83474312132385,12.88990592956543,11967756
2016-08-29,12.853134210807326,12.899103931587835,12.724418150891172,12.880716323852539,14219696
2016-08-30,12.871520042419434,12.917489756856645,12.834744832023404,12.871520042419434,15164888
2016-08-31,12.843939161874877,12.880715778673434,12.74280662216894,12.761194229125977,20824324
2016-09-01,12.742804274574862,12.742804274574862,12.61408824381987,12.696834564208984,23860716
2016-09-02,12.706028808323392,12.74280542165719,12.650865992649228,12.71522331237793,10461928
2016-09-05,12.834744949859116,12.926684379577637,12.834744949859116,12.926684379577637,34092164
2016-09-06,12.917489738544896,13.037011276489086,12.917489738544896,13.027816772460938,29371884
2016-09-07,13.046203476521598,13.220889220800304,13.046203476521598,13.211694717407227,38747108
2016-09-08,13.202504233332787,13.202504233332787,13.128952400264634,13.165727615356445,18697316
2016-09-09,13.037009684238878,13.037009684238878,12.935875763818435,12.945070266723633,20921496
2016-09-12,12.751998403366397,12.751998403366397,12.632476866198857,12.660058975219727,28945744
2016-09-13,12.706028689293062,12.724416294345527,12.540537438052185,12.660058975219727,28493144
2016-09-14,12.595701347309895,12.696835276945668,12.586506843566896,12.586506843566895,22496644
2016-09-19,12.761196777030037,13.055402755737305,12.761196777030037,13.055402755737305,39551620
2016-09-20,13.03701114654541,13.055398751534083,12.981846928695052,13.03701114654541,11180720
2016-09-21,13.009427579243978,13.119754599692532,12.972652373389185,13.101366996765137,48624876
2016-09-22,13.220889543657501,13.239277148008433,13.101368011050013,13.128950119018555,19717528
2016-09-23,13.147341067194168,13.220892906188965,13.12895345816663,13.220892906188965,16862952
