datetime,ticker,action,shares,price,commission,tax,cash,event
2021-01-04,0050.TW,BUY,8000.0,26.421031291007996,301.19975671749114,0.0,788836.7128544201,投資組合多重確認進場做多 (配置法: inverse_vol)
2021-01-04,00631L.TW,BUY,25000.0,4.222560149431229,150.42870532348752,0.0,683122.2804133159,投資組合多重確認進場做多 (配置法: inverse_vol)
2021-01-07,0050.TW,SELL_HALF,4000.0,27.360408868789673,155.95433055210114,328.32490642547606,792079.636651497,階段 1 止盈 50% 成功，止損移至保本位
2021-01-07,00631L.TW,SELL_HALF,12000.0,4.427335395812989,75.70743526840211,159.3840742492676,844972.5698917352,階段 1 止盈 50% 成功，止損移至保本位
2021-01-28,0050.TW,SELL_ALL,4000.0,28.271175715446475,161.1457015780449,339.2541085853577,957556.8729433577,觸發止損離場
2021-01-28,00631L.TW,SELL_ALL,13000.0,4.572712309360504,84.70949553090335,178.33578006505968,1016739.0876894483,觸發止損離場
2021-03-29,00878.TW,BUY,26000.0,12.338868988037108,457.15509600677484,0.0,695471.3389044767,投資組合多重確認進場做多 (配置法: inverse_vol)
2021-04-07,00878.TW,SELL_HALF,13000.0,12.543151365756989,232.3618790506482,489.18290326452257,857810.7618770024,階段 1 止盈 50% 成功，止損移至保本位
2021-05-04,00878.TW,SELL_ALL,13000.0,12.69883996963501,235.24601043748856,495.2547588157654,1022165.1807130043,剩餘部位觸發吊燈止損，波段結束
2021-08-31,0050.TW,BUY,6000.0,30.54842965221405,261.18907352643015,0.0,838613.4137261936,投資組合多重確認進場做多 (配置法: inverse_vol)
2021-09-23,0050.TW,SELL_ALL,6000.0,30.00690638446808,256.55904958720214,540.1243149204255,1017858.1686684944,達到時間限制強制平倉
2023-04-11,00878.TW,BUY,28000.0,13.481486939907073,537.9113289022923,0.0,639838.623022194,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-05-03,00878.TW,SELL_ALL,28000.0,13.614237449645996,543.2080742408752,1143.5959457702636,1019350.4675922708,達到時間限制強制平倉
2023-07-04,00878.TW,BUY,20000.0,15.45473259115219,440.45987884783744,0.0,709815.3558903792,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-07-07,00878.TW,SELL_ALL,20000.0,15.087680581092835,429.9988965611458,905.2608348655701,1010233.7077808091,觸發止損離場
2023-07-13,00878.TW,BUY,16000.0,16.056968945503233,366.0988919574737,0.0,752956.1057608,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-07-17,00878.TW,SELL_HALF,8000.0,16.626922934532168,189.54692145366673,399.0461504287721,885382.8961651749,階段 1 止盈 50% 成功，止損移至保本位
